ID Pen Trait_1 Trait_2 Trait_3 Trait_4
F1250_4 1 0.223851353030689 0.751410836189596 0 -0.200502907674288
F1265_4 1 -0.502490190027665 0.0649461643900495 0 -0.421810754104181
F1767_4 1 0.557332084673797 -0.0272410086166766 0 0.358983138065264
F1975_4 1 -0.558648809306854 -0.369616776981858 0 0.294273524431142
F2226_4 1 -0.0383136734302754 -0.272923067609697 0 0.588578743702899
F2507_4 1 0.587915339377362 0.333106761881473 0 -0.15423732978409
F579_4 1 -0.619294053709925 -0.155438908455239 0 -0.170266399125617
M1017_4 1 -0.013867166817072 -0.372954439850145 0 0.770521921151274
M1301_4 1 -0.0654891375732629 -0.940972745847423 0 -0.090247980811935
M1533_4 1 -0.416593810490739 -0.129126503543483 0 0.305578391489836
M2177_4 1 -0.538858900288019 0.181143619014477 0 0.851384109450595
M2347_4 1 -0.495194814838284 0.712201976447406 0 0.317729117217767
M270_4 1 -0.0967368580089189 -0.212030066905065 0 -0.0990483428951325
M597_4 1 0.285038056875992 0.532874879886114 0 0.715310818910536
F100_4 2 0.304889150437934 -0.0785373941844243 0 0.184073524131413
F1113_4 2 0.267024977326867 -0.525449670268473 0 0.353071688613471
F1212_4 2 0.549732729566834 0.492437510860583 0 0.19441875468366
F2271_4 2 -0.156383031900689 0.347602912927362 0 1.06041644965256
F49_4 2 0.921416995833117 0.0422438782201924 0 -0.500527476392471
M1129_4 2 -0.248209113666066 0.58504097678609 0 0.670426356332586
M1749_4 2 -0.735571783530797 0.774931303755841 0 0.21945431014277
M1799_4 2 0.675834061694929 -0.559324833805825 0 0.249903561306965
M2378_4 2 -0.287994263190094 -0.0502756018095756 0 0.215688867269861
M330_4 2 -0.283844121527488 -0.0827451729199768 0 0.208860617247274
M37_4 2 -0.0886764876348937 -0.561792992004265 0 -0.45337085833901
M485_4 2 0.0953490195860534 1.41369457347447 0 0.126746923015047
M729_4 2 0.506152935289889 0.251542934289845 0 0.137660611693218
M878_4 2 -0.0177474587321996 -0.661538393175556 0 -0.367312507908186
F1336_4 3 -0.144165205558995 -0.164388813410381 0 0.68068466290685
F1544_4 3 0.373279617269187 -0.050106340357316 0 0.267587955638827
F1639_4 3 -0.337673798067559 0.733307940573164 0 0.638784620041291
F1833_4 3 0.2890530906558 0.909791611753306 0 0.0771427164318925
F1850_4 3 -0.384741141365936 1.07464090326937 0 -0.611700025996434
F676_4 3 -0.301146652847871 -0.678856640859389 0 0.495803037536446
M1222_4 3 -0.00772396050135776 0.327119718845303 0 0.79932128796667
M1446_4 3 0.07142525368871 -0.0473019487624061 0 -0.822987112057251
M1530_4 3 -0.332712400415754 -0.00119850490860551 0 -0.056500036318277
M1948_4 3 0.380454200392868 -0.0650510246226575 0 -0.0402494250504196
M2087_4 3 -0.545894536799708 -0.916417104708798 0 0.217395123663768
M2159_4 3 -0.38986722091088 0.577153911211794 0 0.564419741511614
M2426_4 3 -0.581300847204133 0.0931688774997631 0 -0.414689914297838
M2580_4 3 1.63929380423111 0.285813268300898 0 -0.0185536086765745
F1110_4 4 -0.0397345100634801 0.473329411613318 0 0.323987117476306
F2600_4 4 -0.113792232525991 -0.759273653621385 0 1.62195393654707
F2691_4 4 -0.453780254017796 0.0554947776278125 0 1.19975801172758
F2710_4 4 -0.537807433044869 0.103801764151099 0 0.357540452413728
F2722_4 4 -0.298085250897769 0.8954592270625 0 0.313560989389837
F58_4 4 0.305688439025392 0.707908585593972 0 0.612684416133656
M1069_4 4 0.0937179802243188 0.0851339479030743 0 -0.0636652329171308
M1128_4 4 -1.04167775180714 0.878733185732401 0 -0.137543641031194
M1696_4 4 -0.336132705072169 -0.366276266845922 0 0.153988398287168
M1791_4 4 -0.304928406135808 0.640838317739994 0 -0.19916540813016
M22_4 4 0.433611187072623 -0.512083645418167 0 -0.934055935981861
M2483_4 4 0.789477261242084 1.3873413358657 0 -0.444228100319971
M526_4 4 0.306933591675595 0.592000691503333 0 -0.409534723090552
M983_4 4 0.062233786413003 -0.107740122215062 0 1.36296210735042
F1063_4 5 -0.0404831194059316 0.231161000822367 0 0.611650545068057
F1190_4 5 -0.29724022672849 0.46092075193966 0 -0.138377474129107
F2139_4 5 0.511499891149808 -0.0389046373519311 0 -0.941420238935226
F2292_4 5 0.226170676540946 -0.334895340680224 0 -0.0125755087260868
F2461_4 5 0.45276996995213 0.181007740114258 0 0.16634126186695
F2768_4 5 0.610173073289497 0.271956992109956 0 0.0565491018448299
